Title,Type,CriticScore,ReleaseYear,Director,ReleaseDate,Genre,Cast,Rating,Runtime,Summary,NumOfCriticReviews
The Grand Budapest Hotel,Movie,Good,2014,Wes Anderson,"March 7, 2014",Comedy,"['Adrien Brody', 'Bill Murray', 'Edward Norton', 'F. Murray Abraham', 'Harvey Keitel', 'Jeff Goldblum', 'Jude Law', 'Léa Seydoux', 'Mathieu Amalric', 'Ralph Fiennes', 'Saoirse Ronan', 'Willem Dafoe']",R,100 min,"The Grand Budapest Hotel recounts the adventures of M. Gustave, a legendary concierge at a famous European hotel between the wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend. The story involves the theft and recovery of a priceless Renaissance painting and the battle for an enormous family fortune—all against the back-drop of a suddenly and dramatically changing continent. [Fox Searchlight]",48
The Big Sick,Movie,Good,2017,Michael Showalter,"June 23, 2017",Romance,"['Adeel Akhtar', 'Aidy Bryant', 'Anupam Kher', 'Bo Burnham', 'Holly Hunter', 'Kumail Nanjiani', 'Kurt Braunohler', 'Ray Romano', 'Zenobia Shroff', 'Zoe Kazan']",R,120 min,"Based on the real-life courtship between Kumail Nanjiani and Emily V. Gordon, The Big Sick tells the story of Pakistan-born aspiring comedian Kumail (Nanjiani), who connects with grad student Emily (Zoe Kazan) after one of his standup sets. However, what they thought would be just a one-night stand blossoms into the real thing, which complicates the life that is expected of Kumail by his traditional Muslim parents. When Emily is beset with a mystery illness, it forces Kumail to navigate the medical crisis with her parents, Beth and Terry (Holly Hunter and Ray Romano) who he's never met, while dealing with the emotional tug-of-war between his family and his heart.",47
The Handmaiden,Movie,Good,2016,Chan-wook Park,"October 21, 2016",Romance,"['Hae-suk Kim', 'Jin-woong Jo', 'Jung-woo Ha', 'Min-hee Kim', 'So-ri Moon', 'Tae Ri Kim']",Not Rated,144 min,"1930s Korea, in the period of Japanese occupation, a new girl (Kim Tae-ri) is hired as a handmaiden to a Japanese heiress (Kim Min-hee) who lives a secluded life on a large countryside estate with her domineering Uncle (Jo Jin-woong). But the maid has a secret. She is a pickpocket recruited by a swindler posing as a Japanese Count (Ha Jung-woo) to help him seduce the Lady to elope with him, rob her of her fortune, and lock her up in a madhouse. The plan seems to proceed according to plan until Sookee and Hideko discover some unexpected emotions.",40
Drive,Movie,Good,2011,Nicolas Winding Refn,"September 16, 2011",Drama,"['Bryan Cranston', 'Carey Mulligan', 'Ryan Gosling']",R,100 min,"Drive is the story of a Hollywood stunt driver by day, a loner by nature, who moonlights as a top-notch getaway driver-for-hire in the criminal underworld. He finds himself a target for some of LA's most dangerous men after agreeing to aid the husband of his beautiful neighbor, Irene. When the job goes dangerously awry, the only way he can keep Irene and her son alive is to do what he does best—Drive! [FilmDistrict]",43
Good Time,Movie,Good,2017,Ben Safdie/Joshua Safdie,"August 11, 2017",Crime,"['Barkhad Abdi', 'Ben Safdie', 'Buddy Duress', 'Gladys Mathon', 'Jennifer Jason Leigh', 'Luke Eberl', 'Mahadeo Shivraj', 'Marcos A. Gonzalez', 'Necro', 'Peter Verby', 'Robert Pattinson', 'Ron Braunstein', 'Rose Gregorio', 'Saida Mansoor', 'Souleymane Sy Savane', 'Taliah Webster']",Not Rated,101 min,"After a botched bank robbery lands his younger brother in prison, Constantine Nikas (Robert Pattinson) embarks on a twisted odyssey through the city’s underworld in an increasingly desperate—and dangerous—attempt to get his brother out of jail. Over the course of one adrenalized night, Constantine finds himself on a mad descent into violence and mayhem as he races against the clock to save his brother and himself, knowing their lives hang in the balance.",41
Eighth Grade,Movie,Good,2018,Bo Burnham,"July 13, 2018",Comedy,"['Catherine Oliviere', 'Daniel Zolghadri', 'Deborah Unger', 'Elsie Fisher', 'Emily Robinson', 'Frank Deal', 'Fred Hechinger', 'Gerald W. Jones', 'Greg Crowe', 'Imani Lewis', 'Jake Ryan', 'Josh Hamilton', 'Josh Hamilton', 'Luke Prael', 'Marguerite Stimpson', 'Missy Yager', 'Natalie Carter', 'Nora Mullins']",R,93 min,,49
Me and Earl and the Dying Girl,Movie,Good,2015,Alfonso Gomez-Rejon,"June 12, 2015",Comedy,"['Olivia Cooke', 'RJ Cyler', 'Thomas Mann']",PG-13,105 min,"Greg (Thomas Mann), a high school senior who is trying to blend in anonymously, avoids deeper relationships as a survival strategy for navigating the social minefield that is teenage life.  He even describes his constant companion Earl (RJ Cyler), with whom he makes short film parodies of classic movies, as more of a ‘co-worker’ than a best friend. But when Greg’s mom (Connie Britton) insists he spend time with Rachel (Olivia Cooke) – a girl in his class who has just been diagnosed with cancer – he slowly discovers how worthwhile the true bonds of friendship can be. [Fox Searchlight]",40
The Spectacular Now,Movie,Good,2013,James Ponsoldt,"August 2, 2013",Romance,"['Andre Royo', 'Bob Odenkirk', 'Brie Larson', 'Jennifer Jason Leigh', 'Kyle Chandler', 'Mary Elizabeth Winstead', 'Miles Teller', 'Shailene Woodley']",R,95 min,,42
Safety Not Guaranteed,Movie,Good,2012,Colin Trevorrow,"June 8, 2012",Comedy,"['Aubrey Plaza', 'Jake M. Johnson', 'Jenica Bergere', 'Karan Soni', 'Mark Duplass']",R,86 min,"When an unusual classified ad inspires three cynical Seattle magazine employees to look for the story behind it, they discover a mysterious eccentric named Kenneth, a likable but paranoid supermarket clerk, who believes he¹s solved the riddle of time travel and intends to depart again soon. Together, they embark on a hilarious, smart, and unexpectedly heartfelt journey that reveals how far believing can take you. (FilmDistrict)",31
Like Crazy,Movie,Mediocre,2011,Drake Doremus,"October 28, 2011",Romance,[],PG-13,90 min,"A love story is both a physical and emotional tale, one that can be deeply personal and heartbreaking for an audience to experience. Director Drake Doremus' film Like Crazy beautifully illustrates how your first real love is as thrilling and blissful as it is devastating. When a British college student falls for her American classmate they embark on a passionate and life-changing journey only to be separated when she violates the terms of her visa.Like Crazy explores how a couple faces the real challenges of being together and of being apart. Winner of the Grand Jury Prize for Best Picture at the 2011 Sundance Film Festival and of the Special Jury Prize for Best Actress for Felicity Jones, Like Crazy depicts both the hopefulness and the heartbreak of love. [Paramount Vantage]",38
The Art of Getting By,Movie,Bad,2011,Gavin Wiesen,"June 17, 2011",Romance,"['Emma Roberts', 'Freddie Highmore', 'Michael Angarano']",PG-13,84 min,,28
The End of the Tour,Movie,Good,2015,James Ponsoldt,"July 31, 2015",Drama,"['Anna Chlumsky', 'Jason Segel', 'Jesse Eisenberg', 'Joan Cusack', 'Mamie Gummer', 'Mickey Sumner', 'Ron Livingston']",R,106 min,"The End of the Tour tells the story of the five-day interview between Rolling Stone reporter (and novelist) David Lipsky (Jesse Eisenberg) and acclaimed novelist David Foster Wallace (Jason Segel), which took place right after the 1996 publication of Wallace’s groundbreaking epic novel, Infinite Jest. As the days go on, a tenuous yet intense relationship seems to develop between journalist and subject. The two men bob and weave around each other, sharing laughs and also possibly revealing hidden frailties – but it’s never clear how truthful they are being with each other. Ironically, the interview was never published, and five days of audio tapes were packed away in Lipsky’s closet. The two men did not meet again. The film is based on Lipsky’s critically acclaimed memoir about this unforgettable encounter, written following Wallace’s 2008 suicide. [A24]",35
